service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20260225,20260228
2,1,1,1,1,1,0,0,20260225,20271231
3,1,1,1,1,1,0,0,20260301,20260301
4,1,1,1,1,1,0,0,20260302,20260307
5,1,1,1,1,1,0,0,20260308,20260308
6,1,1,1,1,1,0,0,20260309,20271231
7,0,0,0,0,0,1,1,20260225,20260228
8,0,0,0,0,0,1,1,20260225,20271231
9,0,0,0,0,0,1,1,20260301,20260301
10,0,0,0,0,0,1,1,20260302,20260307
11,0,0,0,0,0,1,1,20260308,20260308
12,0,0,0,0,0,1,1,20260309,20271231
