shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
9,-74.006693,40.703647,1
9,-74.005259,40.702377,2
9,-73.996646,40.704159,3
9,-73.995671,40.703652,4
9,-73.996646,40.704159,5
9,-73.97258,40.710119,6
9,-73.970224,40.708743,7
9,-73.97258,40.710119,8
9,-73.967308,40.722012,9
9,-73.964902,40.720838,10
9,-73.967308,40.722012,11
9,-73.964842,40.731406,12
9,-73.963617,40.731365,13
9,-73.964842,40.731406,14
9,-73.964519,40.742134,15
9,-73.961322,40.741838,16
9,-73.964519,40.742134,17
9,-73.967329,40.742936,18
9,-73.970731,40.743912,19
12,-73.970731,40.743912,1
12,-73.967329,40.742936,2
12,-73.964519,40.742134,3
12,-73.961322,40.741838,4
12,-73.964519,40.742134,5
12,-73.964842,40.731406,6
12,-73.963617,40.731365,7
12,-73.964842,40.731406,8
12,-73.967308,40.722012,9
12,-73.964902,40.720838,10
12,-73.967308,40.722012,11
12,-73.972587,40.710119,12
12,-73.970224,40.708743,13
12,-73.972587,40.710119,14
12,-73.996646,40.704159,15
12,-73.995671,40.703652,16
12,-73.996646,40.704159,17
12,-74.005259,40.702377,18
12,-74.006693,40.703647,19
16,-74.074229,40.6460718,1
16,-74.0672005,40.6489099,2
16,-74.060352,40.6516478,3
16,-74.039348,40.6760788,4
16,-74.028986,40.6947218,5
16,-74.023903,40.7154068,6
16,-74.0177578,40.7150288,7
16,-74.023903,40.7154068,8
16,-74.0136558,40.7512748,9
16,-74.0065908,40.7613248,10
16,-74.0040578,40.7603228,11
27,-73.882669,40.567389,1
27,-73.882458,40.56702,2
27,-73.882088,40.56639,3
27,-73.881968,40.56657,4
27,-73.88188,40.566688,5
27,-73.881758,40.56685,6
27,-73.881678,40.56692,7
27,-73.881528,40.56702,8
27,-73.881368,40.56709,9
27,-73.881168,40.56713,10
27,-73.880788,40.56714,11
27,-73.880418,40.5671,12
27,-73.880138,40.56712,13
27,-73.879878,40.56716,14
27,-73.879698,40.56721,15
27,-73.879338,40.56741,16
27,-73.879038,40.56753,17
27,-73.878698,40.56768,18
27,-73.878358,40.56782,19
27,-73.877448,40.56823,20
27,-73.876628,40.56862,21
27,-73.874708,40.56954,22
27,-73.874558,40.56961,23
27,-73.872128,40.57077,24
27,-73.871728,40.57094,25
27,-73.871408,40.57104,26
27,-73.871028,40.5711,27
27,-73.870488,40.57112,28
27,-73.870328,40.57112,29
27,-73.869788,40.571,30
27,-73.869518,40.57092,31
27,-73.869248,40.5708,32
27,-73.868968,40.57064,33
27,-73.868788,40.57052,34
27,-73.868528,40.57021,35
27,-73.868338,40.56992,36
27,-73.868178,40.56962,37
27,-73.868118,40.5694,38
27,-73.868118,40.56893,39
27,-73.868148,40.56883,40
27,-73.868158,40.56874,41
27,-73.868268,40.56852,42
27,-73.868588,40.5681,43
27,-73.868758,40.56793,44
27,-73.869048,40.56773,45
27,-73.869398,40.56756,46
27,-73.869858,40.56742,47
27,-73.871488,40.56687,48
27,-73.871858,40.56674,49
27,-73.872248,40.5666,50
27,-73.872808,40.5664,51
27,-73.872998,40.56636,52
27,-73.873108,40.5663,53
27,-73.873138,40.56619,54
27,-73.873113,40.566164,55
27,-73.873138,40.56619,56
27,-73.873048,40.5661,57
27,-73.872888,40.56608,58
27,-73.869748,40.56715,59
27,-73.868348,40.56762,60
27,-73.867788,40.56784,61
27,-73.867118,40.5681,62
27,-73.865328,40.5688,63
27,-73.864068,40.56931,64
27,-73.863278,40.56963,65
27,-73.862488,40.56995,66
27,-73.862378,40.56999,67
27,-73.861598,40.57033,68
27,-73.860798,40.57065,69
27,-73.860008,40.57098,70
27,-73.859208,40.5713,71
27,-73.858418,40.57163,72
27,-73.858318,40.57167,73
27,-73.857528,40.572,74
27,-73.856728,40.57232,75
27,-73.855938,40.57266,76
27,-73.855138,40.57298,77
27,-73.854348,40.5733,78
27,-73.853558,40.57364,79
27,-73.852738,40.57396,80
27,-73.851958,40.57429,81
27,-73.851168,40.57461,82
27,-73.850358,40.57494,83
27,-73.849578,40.57526,84
27,-73.848788,40.57558,85
27,-73.847978,40.57592,86
27,-73.847138,40.57627,87
27,-73.846308,40.5766,88
27,-73.846208,40.57665,89
27,-73.845508,40.57698,90
27,-73.844698,40.57731,91
27,-73.843878,40.57759,92
27,-73.843058,40.57788,93
27,-73.842218,40.57814,94
27,-73.841388,40.57841,95
27,-73.840568,40.57869,96
27,-73.839748,40.57896,97
27,-73.838928,40.57924,98
27,-73.838098,40.57951,99
27,-73.837278,40.57979,100
27,-73.837128,40.57984,101
27,-73.836718,40.57996,102
27,-73.836278,40.5801,103
27,-73.835428,40.58032,104
27,-73.834578,40.58055,105
27,-73.833728,40.58079,106
27,-73.832948,40.58101,107
27,-73.832878,40.58103,108
27,-73.832778,40.58105,109
27,-73.832448,40.58113,110
27,-73.832028,40.58125,111
27,-73.831928,40.58128,112
27,-73.830878,40.58157,113
27,-73.830768,40.5816,114
27,-73.830108,40.581791,115
27,-73.829908,40.58185,116
27,-73.830228,40.58259,117
27,-73.830678,40.58347,118
27,-73.830948,40.58398,119
27,-73.831178,40.58393,120
27,-73.831728,40.583784,121
35,-73.831326,40.583887,1
35,-73.83343,40.58333,2
35,-73.83458,40.58296,3
35,-73.83552,40.58266,4
35,-73.83611,40.58248,5
35,-73.83636,40.5824,6
35,-73.83673,40.58228,7
35,-73.83741,40.58206,8
35,-73.837446,40.582048,9
35,-73.83789,40.58191,10
35,-73.83813,40.58185,11
35,-73.83839,40.58177,12
35,-73.83727,40.57979,13
35,-73.83809,40.57951,14
35,-73.83892,40.57924,15
35,-73.83974,40.57896,16
35,-73.84056,40.57869,17
35,-73.84138,40.57841,18
35,-73.84221,40.57814,19
35,-73.84305,40.57788,20
35,-73.84387,40.57759,21
35,-73.84469,40.57731,22
35,-73.8455,40.57698,23
35,-73.845988,40.576817,24
35,-73.84637,40.57669,25
35,-73.84718,40.57635,26
35,-73.84801,40.57601,27
35,-73.84884,40.57567,28
35,-73.84963,40.57535,29
35,-73.8504,40.57502,30
35,-73.85122,40.5747,31
35,-73.85202,40.57437,32
35,-73.85279,40.57405,33
35,-73.8536,40.57372,34
35,-73.85439,40.5734,35
35,-73.85518,40.57307,36
35,-73.85597,40.57274,37
35,-73.85677,40.57242,38
35,-73.85758,40.5721,39
35,-73.85837,40.57178,40
35,-73.85847,40.57174,41
35,-73.858523,40.571718,42
35,-73.85927,40.57141,43
35,-73.86006,40.57108,44
35,-73.86085,40.57075,45
35,-73.86165,40.57043,46
35,-73.86244,40.57011,47
35,-73.86255,40.57007,48
35,-73.86333,40.56974,49
35,-73.86412,40.56941,50
35,-73.86469,40.56922,51
35,-73.86509,40.56911,52
35,-73.8655,40.56904,53
35,-73.86581,40.56901,54
35,-73.86611,40.56902,55
35,-73.86654,40.5691,56
35,-73.86693,40.56921,57
35,-73.8671,40.5693,58
35,-73.8673,40.56932,59
35,-73.86746,40.56931,60
35,-73.86771,40.56925,61
35,-73.86794,40.56912,62
35,-73.86801,40.56906,63
35,-73.86811,40.56893,64
35,-73.86814,40.56883,65
35,-73.86815,40.56874,66
35,-73.86826,40.56852,67
35,-73.86858,40.5681,68
35,-73.86875,40.56793,69
35,-73.86904,40.56773,70
35,-73.8691,40.5677,71
35,-73.86939,40.56756,72
35,-73.86985,40.56742,73
35,-73.87148,40.56687,74
35,-73.87185,40.56674,75
35,-73.87224,40.5666,76
35,-73.8728,40.5664,77
35,-73.87299,40.56636,78
35,-73.873048,40.566328,79
35,-73.8731,40.5663,80
35,-73.87313,40.56619,81
35,-73.87304,40.5661,82
35,-73.87288,40.56608,83
35,-73.87266,40.56615,84
35,-73.872457,40.56622,85
35,-73.87171,40.56647,86
35,-73.87139,40.56658,87
35,-73.86974,40.56715,88
35,-73.86834,40.56762,89
35,-73.86778,40.56784,90
35,-73.86711,40.5681,91
35,-73.86687,40.56818,92
35,-73.86671,40.5683,93
35,-73.86662,40.56839,94
35,-73.86656,40.56856,95
35,-73.86656,40.56874,96
35,-73.86658,40.56884,97
35,-73.86671,40.56904,98
35,-73.86682,40.56913,99
35,-73.86693,40.56921,100
35,-73.8671,40.5693,101
35,-73.86733,40.56945,102
35,-73.8675,40.5696,103
35,-73.86776,40.56992,104
35,-73.86787,40.57007,105
35,-73.86817,40.57048,106
35,-73.86852,40.57086,107
