trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
372,08:55:00,08:55:00,87,1,,0,0,1
372,09:05:00,09:05:00,20,2,,0,0,1
372,09:17:00,09:17:00,8,3,,0,0,1
372,09:27:00,09:27:00,19,4,,0,0,1
372,09:36:00,09:36:00,18,5,,0,0,1
372,09:44:00,09:44:00,4,6,,0,0,1
372,09:48:00,09:48:00,17,7,,0,0,1
373,10:14:00,10:14:00,87,1,,0,0,1
373,10:24:00,10:24:00,20,2,,0,0,1
373,10:36:00,10:36:00,8,3,,0,0,1
373,10:46:00,10:46:00,19,4,,0,0,1
373,10:55:00,10:55:00,18,5,,0,0,1
373,11:03:00,11:03:00,4,6,,0,0,1
373,11:07:00,11:07:00,17,7,,0,0,1
374,11:14:00,11:14:00,87,1,,0,0,1
374,11:24:00,11:24:00,20,2,,0,0,1
374,11:36:00,11:36:00,8,3,,0,0,1
374,11:46:00,11:46:00,19,4,,0,0,1
374,11:55:00,11:55:00,18,5,,0,0,1
374,12:03:00,12:03:00,4,6,,0,0,1
374,12:07:00,12:07:00,17,7,,0,0,1
375,12:14:00,12:14:00,87,1,,0,0,1
375,12:24:00,12:24:00,20,2,,0,0,1
375,12:36:00,12:36:00,8,3,,0,0,1
375,12:46:00,12:46:00,19,4,,0,0,1
375,12:55:00,12:55:00,18,5,,0,0,1
375,13:03:00,13:03:00,4,6,,0,0,1
375,13:07:00,13:07:00,17,7,,0,0,1
376,13:14:00,13:14:00,87,1,,0,0,1
376,13:24:00,13:24:00,20,2,,0,0,1
376,13:36:00,13:36:00,8,3,,0,0,1
376,13:46:00,13:46:00,19,4,,0,0,1
376,13:55:00,13:55:00,18,5,,0,0,1
376,14:03:00,14:03:00,4,6,,0,0,1
376,14:07:00,14:07:00,17,7,,0,0,1
377,14:14:00,14:14:00,87,1,,0,0,1
377,14:24:00,14:24:00,20,2,,0,0,1
377,14:36:00,14:36:00,8,3,,0,0,1
377,14:46:00,14:46:00,19,4,,0,0,1
377,14:55:00,14:55:00,18,5,,0,0,1
377,15:03:00,15:03:00,4,6,,0,0,1
377,15:07:00,15:07:00,17,7,,0,0,1
378,15:14:00,15:14:00,87,1,,0,0,1
378,15:24:00,15:24:00,20,2,,0,0,1
378,15:36:00,15:36:00,8,3,,0,0,1
378,15:46:00,15:46:00,19,4,,0,0,1
378,15:55:00,15:55:00,18,5,,0,0,1
378,16:03:00,16:03:00,4,6,,0,0,1
378,16:07:00,16:07:00,17,7,,0,0,1
379,16:14:00,16:14:00,87,1,,0,0,1
379,16:24:00,16:24:00,20,2,,0,0,1
379,16:36:00,16:36:00,8,3,,0,0,1
379,16:46:00,16:46:00,19,4,,0,0,1
379,16:55:00,16:55:00,18,5,,0,0,1
379,17:03:00,17:03:00,4,6,,0,0,1
379,17:07:00,17:07:00,17,7,,0,0,1
381,17:14:00,17:14:00,87,1,,0,0,1
381,17:24:00,17:24:00,20,2,,0,0,1
381,17:36:00,17:36:00,8,3,,0,0,1
381,17:46:00,17:46:00,19,4,,0,0,1
381,17:55:00,17:55:00,18,5,,0,0,1
381,18:03:00,18:03:00,4,6,,0,0,1
381,18:07:00,18:07:00,17,7,,0,0,1
382,18:14:00,18:14:00,87,1,,0,0,1
382,18:24:00,18:24:00,20,2,,0,0,1
382,18:36:00,18:36:00,8,3,,0,0,1
382,18:46:00,18:46:00,19,4,,0,0,1
382,18:55:00,18:55:00,18,5,,0,0,1
382,19:03:00,19:03:00,4,6,,0,0,1
382,19:07:00,19:07:00,17,7,,0,0,1
383,19:14:00,19:14:00,87,1,,0,0,1
383,19:24:00,19:24:00,20,2,,0,0,1
383,19:36:00,19:36:00,8,3,,0,0,1
383,19:46:00,19:46:00,19,4,,0,0,1
383,19:55:00,19:55:00,18,5,,0,0,1
383,20:03:00,20:03:00,4,6,,0,0,1
383,20:07:00,20:07:00,17,7,,0,0,1
384,20:14:00,20:14:00,87,1,,0,0,1
384,20:24:00,20:24:00,20,2,,0,0,1
384,20:36:00,20:36:00,8,3,,0,0,1
384,20:46:00,20:46:00,19,4,,0,0,1
384,20:55:00,20:55:00,18,5,,0,0,1
384,21:03:00,21:03:00,4,6,,0,0,1
384,21:07:00,21:07:00,17,7,,0,0,1
385,09:04:00,09:04:00,17,1,,0,0,1
385,09:12:00,09:12:00,4,2,,0,0,1
385,09:21:00,09:21:00,18,3,,0,0,1
385,09:31:00,09:31:00,19,4,,0,0,1
385,09:40:00,09:40:00,8,5,,0,0,1
385,09:54:00,09:54:00,20,6,,0,0,1
385,09:58:00,09:58:00,87,7,,0,0,1
386,09:52:00,09:52:00,17,1,,0,0,1
386,10:00:00,10:00:00,4,2,,0,0,1
386,10:09:00,10:09:00,18,3,,0,0,1
386,10:19:00,10:19:00,19,4,,0,0,1
386,10:28:00,10:28:00,8,5,,0,0,1
386,10:42:00,10:42:00,20,6,,0,0,1
386,10:46:00,10:46:00,87,7,,0,0,1
387,11:11:00,11:11:00,17,1,,0,0,1
387,11:19:00,11:19:00,4,2,,0,0,1
387,11:28:00,11:28:00,18,3,,0,0,1
387,11:38:00,11:38:00,19,4,,0,0,1
387,11:47:00,11:47:00,8,5,,0,0,1
387,12:01:00,12:01:00,20,6,,0,0,1
387,12:05:00,12:05:00,87,7,,0,0,1
388,12:11:00,12:11:00,17,1,,0,0,1
388,12:19:00,12:19:00,4,2,,0,0,1
388,12:28:00,12:28:00,18,3,,0,0,1
388,12:38:00,12:38:00,19,4,,0,0,1
388,12:47:00,12:47:00,8,5,,0,0,1
388,13:01:00,13:01:00,20,6,,0,0,1
388,13:05:00,13:05:00,87,7,,0,0,1
389,13:11:00,13:11:00,17,1,,0,0,1
389,13:19:00,13:19:00,4,2,,0,0,1
389,13:28:00,13:28:00,18,3,,0,0,1
389,13:38:00,13:38:00,19,4,,0,0,1
389,13:47:00,13:47:00,8,5,,0,0,1
389,14:01:00,14:01:00,20,6,,0,0,1
389,14:05:00,14:05:00,87,7,,0,0,1
390,14:11:00,14:11:00,17,1,,0,0,1
390,14:19:00,14:19:00,4,2,,0,0,1
390,14:28:00,14:28:00,18,3,,0,0,1
390,14:38:00,14:38:00,19,4,,0,0,1
390,14:47:00,14:47:00,8,5,,0,0,1
390,15:01:00,15:01:00,20,6,,0,0,1
390,15:05:00,15:05:00,87,7,,0,0,1
391,15:11:00,15:11:00,17,1,,0,0,1
391,15:19:00,15:19:00,4,2,,0,0,1
391,15:28:00,15:28:00,18,3,,0,0,1
391,15:38:00,15:38:00,19,4,,0,0,1
391,15:47:00,15:47:00,8,5,,0,0,1
391,16:01:00,16:01:00,20,6,,0,0,1
391,16:05:00,16:05:00,87,7,,0,0,1
392,16:11:00,16:11:00,17,1,,0,0,1
392,16:19:00,16:19:00,4,2,,0,0,1
392,16:28:00,16:28:00,18,3,,0,0,1
392,16:38:00,16:38:00,19,4,,0,0,1
392,16:47:00,16:47:00,8,5,,0,0,1
392,17:01:00,17:01:00,20,6,,0,0,1
392,17:05:00,17:05:00,87,7,,0,0,1
393,17:11:00,17:11:00,17,1,,0,0,1
393,17:19:00,17:19:00,4,2,,0,0,1
393,17:28:00,17:28:00,18,3,,0,0,1
393,17:38:00,17:38:00,19,4,,0,0,1
393,17:47:00,17:47:00,8,5,,0,0,1
393,18:01:00,18:01:00,20,6,,0,0,1
393,18:05:00,18:05:00,87,7,,0,0,1
394,18:11:00,18:11:00,17,1,,0,0,1
394,18:19:00,18:19:00,4,2,,0,0,1
394,18:28:00,18:28:00,18,3,,0,0,1
394,18:38:00,18:38:00,19,4,,0,0,1
394,18:47:00,18:47:00,8,5,,0,0,1
394,19:01:00,19:01:00,20,6,,0,0,1
394,19:05:00,19:05:00,87,7,,0,0,1
395,19:11:00,19:11:00,17,1,,0,0,1
395,19:19:00,19:19:00,4,2,,0,0,1
395,19:28:00,19:28:00,18,3,,0,0,1
395,19:38:00,19:38:00,19,4,,0,0,1
395,19:47:00,19:47:00,8,5,,0,0,1
395,20:01:00,20:01:00,20,6,,0,0,1
395,20:05:00,20:05:00,87,7,,0,0,1
396,20:11:00,20:11:00,17,1,,0,0,1
396,20:19:00,20:19:00,4,2,,0,0,1
396,20:28:00,20:28:00,18,3,,0,0,1
396,20:38:00,20:38:00,19,4,,0,0,1
